X,Y,code,nom
1.52540018152696,47.4146399448089,41247,Soings-en-Sologne
1.30088077964306,47.3940949614654,41257,Thenay
1.32847176652122,47.320239318449,41258,Thésée
1.14883560609085,47.4080343359069,41267,Vallières-les-Grandes
0.560896223893035,44.6617944835964,47044,Cahuzac
0.603682209996942,44.6347843881182,47057,Castillonnès
0.64186321201948,44.681170164399,47063,Cavarc
0.684446128882206,44.6627797896484,47083,Doudrac
0.700223438904335,44.1651940406799,47128,Lafox
0.522267899495808,44.6602996931643,47132,Lalandusse
0.703193237367957,44.6547599823656,47164,Mazières-Naresse
0.775821541389389,44.6683948739816,47219,Rayet
0.738034349187407,44.6553405150878,47223,Rives
0.599172920480205,44.680755199551,47272,Saint-Quentin-du-Dropt
0.809092755880723,44.6842149103166,47311,Tourliac
